Entity,Code,Year,GDP per capita,cons_pct_gdp,Gini coefficient,log_gdp_pc
Austria,AUT,2015,43915.227,72.344184990602,0.3053083121776581,10.690016395414483
Austria,AUT,2016,44362.67,71.8096726250725,0.3079513907432556,10.70015362901278
Austria,AUT,2017,45056.637,71.8948024715715,0.2973693013191223,10.715675577379422
Austria,AUT,2018,45951.582,71.0677227791164,0.3084742128849029,10.735343555918055
Austria,AUT,2019,46550.562,70.7629856825548,0.3021051585674286,10.748294355672076
Austria,AUT,2020,43428.7,70.8996415601066,0.2980069816112518,10.67887579185498
Austria,AUT,2021,45368.645,71.4680989258799,0.3070168197154999,10.722576506662103
Austria,AUT,2022,47332.426,71.4863808597878,0.308929294347763,10.764950878717476
Austria,AUT,2023,46497.91,72.2652103992395,0.3120467960834503,10.747162644328776
Azerbaijan,AZE,1995,1120.3087,97.1412503514856,0.3464882373809814,7.021359551311548
Azerbaijan,AZE,2001,1640.9366,75.1429753931823,0.3645493686199188,7.403022455365069
Azerbaijan,AZE,2002,1782.4731,75.3055670103093,0.2527766525745392,7.485757061010482
Azerbaijan,AZE,2003,1949.6061,72.3515007346253,0.2683287858963012,7.575382631153045
Azerbaijan,AZE,2004,2111.4534,68.7123396872289,0.2662159204483032,7.655131804511706
Azerbaijan,AZE,2005,2674.369,52.5430225593931,0.2655490636825561,7.891468743653725
Bangladesh,BGD,1983,425.64658,87.9512226601433,0.2587648928165436,6.053609377527436
Bangladesh,BGD,1985,438.38248,85.4856112934385,0.2691749632358551,6.083091771331594
Bangladesh,BGD,1988,453.83923,86.221292349249,0.2884654700756073,6.117743016383698
Bangladesh,BGD,1991,480.67337,85.426820993694,0.2757080495357513,6.175187974988002
Bangladesh,BGD,1995,537.93195,86.8732099754156,0.3294298350811004,6.287732065172783
Bangladesh,BGD,2000,620.5605,79.9812218392765,0.334065318107605,6.430623101906154
Bangladesh,BGD,2005,739.20374,78.9442862491544,0.3320129215717315,6.6055735798384845
Bangladesh,BGD,2010,943.66425,79.1899761491198,0.3213031888008117,6.8497704355079785
Bangladesh,BGD,2016,1299.8309,72.7297405349623,0.3238527178764343,7.169989458065815
Bangladesh,BGD,2022,1804.3494,74.7756058312723,0.3093025386333465,7.497955362578416
Barbados,BRB,2016,20684.78,,0.3406803607940674,9.93715344311258
Belarus,BLR,1998,2368.7832,77.7113795838846,0.3201834857463836,7.77013168456365
Belarus,BLR,1999,2460.3694,78.1469261720836,0.3173814713954925,7.80806678025476
Belarus,BLR,2000,2615.3638,76.3891261030458,0.3116748332977295,7.8691584872815605
Belarus,BLR,2001,2753.0337,79.177148114504,0.3057672381401062,7.920458746259112
Belarus,BLR,2002,2910.3994,80.520538826167,0.3033624291419983,7.976045601606607
Belarus,BLR,2003,3137.2627,78.5096595632959,0.2882101237773895,8.05110594711355
Belarus,BLR,2004,3520.4045,74.3295900527687,0.2647988498210907,8.166331176762673
Belarus,BLR,2005,3877.7173,72.7731833753156,0.2755340933799743,8.263001934744143
Belarus,BLR,2006,4291.6865,70.6828819054588,0.2827544212341308,8.364435058212372
Belarus,BLR,2007,4682.2065,70.334265421915,0.2961238026618957,8.451524752161554
Belarus,BLR,2008,5177.6455,68.4822036692893,0.2782604396343231,8.552105695240883
Belarus,BLR,2009,5200.7744,72.3094939662034,0.2768930494785309,8.5565628165585
Belarus,BLR,2010,5616.094,71.666457436037,0.2856659889221191,8.633391683457308
Belarus,BLR,2011,5941.69,62.1538837084411,0.271525502204895,8.6897488836754
Belarus,BLR,2012,6052.637,61.618318068094,0.2652619779109955,8.708249323830719
Belarus,BLR,2013,6115.433,64.6861695108832,0.265750527381897,8.718570855099273
Belarus,BLR,2014,6212.9165,66.5814545105708,0.2717666625976562,8.734385710411173
Belarus,BLR,2015,5967.056,67.7991089070258,0.2563322484493255,8.694008952428605
Belarus,BLR,2016,5811.2017,70.162929572718,0.2530661523342132,8.667542661505422
Belarus,BLR,2017,5964.8965,70.1088056345167,0.2544457018375397,8.69364698316606
Belarus,BLR,2018,6165.913,69.2927631444485,0.2524052560329437,8.72679149871308
Belarus,BLR,2019,6267.735,70.8066600312769,0.2527784705162048,8.743170324343488
Belarus,BLR,2020,6251.989,69.2005386025188,0.2438335567712783,8.740654932102839
Belgium,BEL,1985,25715.357,80.1069660287827,0.2520346939563751,10.154843641060346
Belgium,BEL,1988,27930.486,75.9446191033637,0.2571237087249756,10.237474059432301
Belgium,BEL,1992,30376.875,75.1039590820435,0.2494633048772812,10.321436907132792
Belgium,BEL,1995,31508.623,74.3590523214741,0.284113347530365,10.358016533383863
Belgium,BEL,1997,32991.5,73.8154363089939,0.2683253288269043,10.40400523151271
Belgium,BEL,2000,35878.316,73.3523834487106,0.3314809799194336,10.487888380846092
Belgium,BEL,2003,36826.27,73.6778281096528,0.2814334332942962,10.51396672817675
Belgium,BEL,2004,37976.7,72.4387902824509,0.3054142892360687,10.544728092755607
